epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59965,1.37539,3.78533,1.69702,0.00578,0.8125,0.14434,0.11376,0.75517,4.13566,1.34369,7.497e-05,7.497e-05,7.497e-05
2,5.73954,0.92902,3.53817,1.35105,0.00765,0.9375,0.30764,0.2655,0.54019,4.07877,1.1559,0.000150436,0.000150436,0.000150436
3,7.8692,0.84932,3.44921,1.27442,0.00781,1,0.36984,0.32738,0.50235,4.08787,1.15149,0.000217655,0.000217655,0.000217655
4,9.92764,0.81246,3.40231,1.31244,0.00644,1,0.32632,0.2956,0.57879,4.0544,1.17453,0.000276627,0.000276627,0.000276627
5,12.0092,0.83621,3.31502,1.27705,0.00661,1,0.33044,0.28291,0.55346,3.99643,1.11598,0.000327352,0.000327352,0.000327352
6,14.0584,0.75926,3.25431,1.25764,0.00633,1,0.36121,0.29694,0.65002,4.00402,1.25425,0.000369831,0.000369831,0.000369831
7,16.0861,0.85494,3.20167,1.30615,0.00637,1,0.2534,0.1903,0.68679,3.9602,1.30275,0.000404063,0.000404063,0.000404063
8,18.1097,0.80652,3.15026,1.26348,0.00621,1,0.21791,0.17623,0.70829,3.85274,1.3217,0.000430049,0.000430049,0.000430049
9,20.1156,0.88732,3.11409,1.33297,0.06595,0.22917,0.24,0.19788,0.66548,3.73809,1.31807,0.000447787,0.000447787,0.000447787
10,22.16,0.85905,3.02292,1.29642,0.06031,1,0.27529,0.22937,0.68231,3.63498,1.33017,0.00045728,0.00045728,0.00045728
11,45.4707,0.77167,3.45094,1.32942,0.18727,0.5625,0.33476,0.27525,0.65659,3.39074,1.26137,0.000420665,0.000420665,0.000420665
12,47.5098,0.78119,3.2528,1.35454,0.37009,0.66667,0.46646,0.34487,0.80875,3.22684,1.35441,0.000379431,0.000379431,0.000379431
13,49.5573,0.79945,3.14524,1.4002,0.28235,0.7722,0.42133,0.31308,0.84324,3.18411,1.36667,0.000338198,0.000338198,0.000338198
14,51.6007,0.71445,3.0493,1.26382,0.21667,0.7381,0.42707,0.37671,0.64011,2.96968,1.21666,0.000296964,0.000296964,0.000296964
15,53.6286,0.65833,2.98881,1.22204,0.85193,0.35315,0.41185,0.354,0.63815,2.84129,1.18987,0.000255731,0.000255731,0.000255731
16,55.6443,0.63278,2.94866,1.21578,0.86204,0.35417,0.4672,0.40384,0.61155,2.93227,1.17314,0.000214497,0.000214497,0.000214497
17,57.6597,0.59481,2.83233,1.17349,0.40094,0.4375,0.47212,0.41333,0.56084,2.91983,1.13713,0.000173264,0.000173264,0.000173264
18,59.6992,0.59049,2.80464,1.15032,0.61132,0.4375,0.50262,0.4373,0.55813,2.80343,1.13032,0.000132031,0.000132031,0.000132031
19,61.7061,0.60447,2.76972,1.14498,0.41564,0.56772,0.6027,0.51209,0.55814,2.74207,1.14679,9.0797e-05,9.0797e-05,9.0797e-05
20,63.7251,0.58468,2.74121,1.17994,0.82371,0.51332,0.63876,0.54144,0.55076,2.71483,1.14328,4.95635e-05,4.95635e-05,4.95635e-05
